aSmiles,DBAffinityReward,Reward,DBAffinityProperty,Epoch
C#Cc1ccc(-c2nnco2)cc1S[NH+]1CCc2ccccc2C1,-7.995492530024605,-7.995492530024605,7.995492530024605,0
C=CCOc1cccc(NC(C=O)C(C)[NH2+]C2CCC(C3COc4ccccc4O3)C2)c1,-8.07664086688597,-8.07664086688597,8.07664086688597,0
CS(=O)(=O)NC(=S)c1ccc(C=NCc2ccccn2)cc1,-7.646030621003232,-7.646030621003232,7.646030621003232,0
C=CCOc1ccc(C2Nc3ccccc3C3C=CCC32)cc1C(c1ccccc1)c1ccc([N+](=O)[O-])cc1,-8.691376176766886,-8.691376176766886,8.691376176766886,0
COCCC(c1ccccc1)c1ccc(C=O)cc1S,-7.644485497163524,-7.644485497163524,7.644485497163524,0
CS(=O)(=O)c1cc(-c2ccc(N3CCCCC3)c(C3CCS(=O)(=O)C3)c2)ccc1[N+](=O)[O-],-8.003296597466358,-8.003296597466358,8.003296597466358,0
C=CCOc1ccc(C(=O)C(C)Oc2ccc(N=C)c(Cl)c2)cc1,-7.671326142322478,-7.671326142322478,7.671326142322478,0
O=C(CSc1ccc(C2CCC(=O)N2)cc1)NC1CCN(Cc2ccccc2)CC1,-8.379080751176495,-8.379080751176495,8.379080751176495,0
O=C(C(=O)c1ccccc1C(F)OC1CCCC1O)c1nccs1,-8.27172257194545,-8.27172257194545,8.27172257194545,0
Cc1ccc(-c2ccc(-c3ccccc3N)cc2Cl)c(C2CCCC2)c1,-8.66591743952316,-8.66591743952316,8.66591743952316,0
CC(C)CC(=O)c1ccc(Cc2ccccn2)cc1NC(=O)C=O,-8.245356366379605,-8.245356366379605,8.245356366379605,0
c1ccc(C2CCC(C34CC5CC(CC(C5)C3)C4)C2)c(-c2cnc(-c3nnco3)nc2)c1,-8.616153743806148,-8.616153743806148,8.616153743806148,0
c1cc(-c2c[nH]c3cc(NCc4c[nH]c5ccccc45)ccc23)cc(C(NC2CCCO2)c2c[nH]c3ccccc23)c1,-10.586800744228148,-10.586800744228148,10.586800744228148,0
CCC(N)c1ccc(C(C(C)C)S(=O)(=O)NCc2ccccc2[N+](=O)[O-])cc1,-8.36559129174954,-8.36559129174954,8.36559129174954,0
C=CCO[NH+](c1ccc(C23CC4CC(CC(C4)C2)C3)c(-c2ccncc2)c1)C1CCCC1,-8.865893032564571,-8.865893032564571,8.865893032564571,0
CN(CC=O)c1ccc(C2CS(=O)(=O)CC2C2CCC([NH2+]C(N)c3c[nH]c4ccccc34)C2)cc1,-8.683992779950055,-8.683992779950055,8.683992779950055,0
CN(C)c1ccc(C(N)=O)cc1C1C=CC(C(=O)N2CCCC2)C1,-8.91435540154986,-8.91435540154986,8.91435540154986,0
O=[N+]([O-])c1ccccc1-c1cc(-c2ncc(Cc3ccccc3)cn2)ccc1-c1ccc2c(c1)OCO2,-9.479417482745964,-9.479417482745964,9.479417482745964,0
Cn1ncc2c1CC(c1ccc(NN)cc1-c1cc(-c3ccc([N+](=O)[O-])cc3)on1)CC2,-9.476770412844122,-9.476770412844122,9.476770412844122,0
O=COC1CCOC1c1ccc(-c2cc(C(=O)C=O)cc3c2OCO3)cc1,-8.181662966650189,-8.181662966650189,8.181662966650189,0
O=C(c1ccoc1)c1cc(C(F)(F)F)ccc1-c1ccoc1,-7.911963858703768,-7.911963858703768,7.911963858703768,0
CCC(NC1=CC(C(=O)[O-])CC1)C(=O)C(NN)c1ccccc1,-7.0398524455204505,-7.0398524455204505,7.0398524455204505,0
O=C(c1cc(-c2cccc(OC34CC5CC(CC(C5)C3)C4)c2)ccc1N1CCCC1)C1C=CCC1,-8.510200469565861,-8.510200469565861,8.510200469565861,0
OC1CCCN(c2cc(-c3ccc(C(F)(F)F)cc3Cl)ccc2-c2ccc3c(c2)OCO3)C1,-8.680009614989505,-8.680009614989505,8.680009614989505,0
Nc1ccccc1CC(F)c1cc(Oc2ccccc2)ccc1Cc1ccccc1,-8.961062572934805,-8.961062572934805,8.961062572934805,0
CS(=O)c1ccc(C2CCCC2O)cc1C1CCCC(c2cccc3cccnc23)C1,-9.830525050505674,-9.830525050505674,9.830525050505674,0
O=C(c1ccccc1NCc1c[nH]c2ccccc12)C1C=CC(C2CC(Nc3ccccc3)CC2O)C1,-10.10261818273535,-10.10261818273535,10.10261818273535,0
O=[N+]([O-])c1ccc(C2CCN(c3ccccc3NCc3c[nH]c4ccccc34)CC2C2CC2)cc1,-9.24391334915374,-9.24391334915374,9.24391334915374,0
NC(=O)CSc1cc(-c2cc(C3Nc4ccccc4C4C=CCC43)ccc2Cc2ccccc2)cc2c1OCO2,-9.038154605578212,-9.038154605578212,9.038154605578212,0
CCOC(=O)c1ccc(NCc2c[nH]c3ccccc23)cc1C(C)(C)OC=O,-9.188977360336816,-9.188977360336816,9.188977360336816,0
O=S(=O)(c1ccc2c(c1)CC[NH2+]C2)c1ccc(-c2ccc3c(c2)CC[NH2+]C3)cc1N1CCOCC1,-7.94300795917538,-7.94300795917538,7.94300795917538,0
COCCC(c1ccccc1)c1ccccc1C(C)C(N)N1CCCC1,-7.778736010621216,-7.778736010621216,7.778736010621216,0
Smiles,DBAffinityReward,Reward,DBAffinityProperty,Epoch
O=S(=O)(NCN=Cc1ccc(C2CCCCC2)cc1)C(F)(F)F,-6.875266333763124,-6.875266333763124,6.875266333763124,1
C=CCOc1cc(C=N)ccc1C(=O)CN(C)N=C,-6.801871967453359,-6.801871967453359,6.801871967453359,1
CS(=O)C(C=O)c1cc(C(O)F)ccc1C12CC3CC(CC(C3)C1)C2,-8.719024883763765,-8.719024883763765,8.719024883763765,1
COCCc1ccc(C#N)c(-c2nc(NC(N)=O)cs2)c1,-7.937897062666942,-7.937897062666942,7.937897062666942,1
O=S(=O)(c1ccccc1)c1cc(-c2ccc(N3CCCC3)c(-c3ccoc3)c2)co1,-9.435121292825327,-9.435121292825327,9.435121292825327,1
C=CCOc1ccc(OC(F)C2CCCC2)cc1C(=O)[O-],-7.200141466816897,-7.200141466816897,7.200141466816897,1
O=S(c1ccccc1-c1ccnc2ccccc12)C(C=S)c1ccccc1,-9.51477950732505,-9.51477950732505,9.51477950732505,1
Cc1cc2c(c(-c3ccc4c(c3)OC(c3ccccc3C(F)(F)F)CO4)c1)OCO2,-8.372236323253459,-8.372236323253459,8.372236323253459,1
C#Cc1cc(S(=O)(=O)NC=S)ccc1C1CCCCC1,-7.37526548191859,-7.37526548191859,7.37526548191859,1
NC(=O)C(=O)N(c1ccccc1-c1coc(C(=O)[O-])c1)[SH](=O)=O,-7.108667039019402,-7.108667039019402,7.108667039019402,1
