Smiles,DBAffinityReward,Reward,DBAffinityProperty,Epoch
CCOc1ccc(C)cc1,-4.113202019061617,-4.113202019061617,4.113202019061617,200
CCOc1ccc(C)cc1,-4.043969064376568,-4.043969064376568,4.043969064376568,200
CC(O)c1ccc(Cl)cc1,-4.724275275441506,-4.724275275441506,4.724275275441506,200
COC=Nc1ccccc1Cl,-5.229769859837275,-5.229769859837275,5.229769859837275,200
Cc1ccc(OCO)cc1,-4.061132250933067,-4.061132250933067,4.061132250933067,200
CCOC(=O)c1cccc(C(C)C)c1,-4.896700758741147,-4.896700758741147,4.896700758741147,200
O=CS(=O)(=O)c1cccc(C[SH](=O)=O)c1,-5.550453091353372,-5.550453091353372,5.550453091353372,200
Cc1ccc(OCO)cc1,-4.133032218931553,-4.133032218931553,4.133032218931553,200
OCOc1ccc(Cl)cc1,-4.035340796206034,-4.035340796206034,4.035340796206034,200
OCOc1ccc(Cl)cc1,-3.803350285486348,-3.803350285486348,3.803350285486348,200
Cc1ccc(OCO)cc1,-3.900647767142877,-3.900647767142877,3.900647767142877,200
Cc1ccc(OCO)cc1,-4.134320047247965,-4.134320047247965,4.134320047247965,200
CC(C)c1ccc(S)cc1,-5.606701712216484,-5.606701712216484,5.606701712216484,200
CCOc1ccc(C)cc1,-4.778536624096884,-4.778536624096884,4.778536624096884,200
CCCc1ccc(Cl)cc1,-4.750038716347634,-4.750038716347634,4.750038716347634,200
CCc1ccc(CO)cc1,-3.8793537993131273,-3.8793537993131273,3.8793537993131273,200
Cc1ccc(OS(C)(=O)=O)cc1,-4.300152872067985,-4.300152872067985,4.300152872067985,200
CS(=O)(=O)c1cccc(CO)c1,-3.8490667904051854,-3.8490667904051854,3.8490667904051854,200
CCc1cccc(CC)c1,-5.67181354390434,-5.67181354390434,5.67181354390434,200
O=[SH](=O)OCc1ccc(S)cc1,-5.024281452100434,-5.024281452100434,5.024281452100434,200
Cc1ccc(OCO)cc1,-4.118997627621105,-4.118997627621105,4.118997627621105,200
Cc1ccc(OCO)cc1,-4.144761587013554,-4.144761587013554,4.144761587013554,200
Cc1ccc(OCO)cc1,-4.152838707140475,-4.152838707140475,4.152838707140475,200
CC(O)c1ccc(Cl)cc1,-4.428544834605511,-4.428544834605511,4.428544834605511,200
Cc1ccc(OCO)cc1,-3.9806252011154784,-3.9806252011154784,3.9806252011154784,200
C=COc1cccc(CO)c1,-4.890015791168743,-4.890015791168743,4.890015791168743,200
CC(C)c1cccc(Cl)c1,-4.766369638859444,-4.766369638859444,4.766369638859444,200
CCOc1cccc([SH](=O)=O)c1,-5.619458546230539,-5.619458546230539,5.619458546230539,200
CCCc1cccc(C2CCCC2O)c1,-8.562711852228416,-8.562711852228416,8.562711852228416,200
Cc1ccc(CS(=O)(=O)[SH](=O)=O)cc1,-4.8680304241816845,-4.8680304241816845,4.8680304241816845,200
Cc1ccc(C)c(C[SH](=O)=O)c1,-4.885226397553618,-4.885226397553618,4.885226397553618,200
CCOC(=O)c1ccc(S(=O)(=O)S(C)(=O)=O)cc1,-5.46002713571337,-5.46002713571337,5.46002713571337,200
Cc1ccc(OCO)cc1,-3.4748707535643923,-3.4748707535643923,3.4748707535643923,200
CCOc1ccc(C)cc1,-4.717706580123023,-4.717706580123023,4.717706580123023,200
Cc1ccc(OCO)cc1,-4.071578628262866,-4.071578628262866,4.071578628262866,200
Cc1ccc(S(=O)(=O)S(C)(=O)=O)cc1,-5.274461279379862,-5.274461279379862,5.274461279379862,200
